Id,SalePrice
1461,124074.0
1462,162069.0
1463,184513.0
1464,194456.0
1465,190021.0
1466,175693.0
1467,183619.0
1468,163936.0
1469,185339.0
1470,121406.0
1471,208420.0
1472,99327.0
1473,96579.0
1474,152687.0
1475,121788.0
1476,383035.0
1477,244963.0
1478,279797.0
1479,284729.0
1480,475682.0
1481,316619.0
1482,209288.0
1483,169579.0
1484,167081.0
1485,185417.0
1486,199735.0
1487,338156.0
1488,239764.0
1489,198712.0
1490,216527.0
1491,190969.0
1492,93199.0
1493,171616.0
1494,299987.0
1495,299430.0
1496,230188.0
1497,178345.0
1498,158241.0
1499,159881.0
1500,147549.0
1501,173429.0
1502,144542.0
1503,288930.0
1504,248343.0
1505,223640.0
1506,183747.0
1507,253570.0
1508,192112.0
1509,161714.0
1510,140566.0
1511,143912.0
1512,168781.0
1513,138912.0
1514,157957.0
1515,189653.0
1516,153594.0
1517,163630.0
1518,136916.0
1519,219385.0
1520,132835.0
1521,136616.0
1522,176217.0
1523,116663.0
1524,128904.0
1525,125323.0
1526,113295.0
1527,99661.0
1528,138635.0
1529,153812.0
1530,173727.0
1531,105334.0
1532,98584.0
1533,144264.0
1534,121569.0
1535,151327.0
1536,105133.0
1537,62632.0
1538,156053.0
1539,201179.0
1540,97503.0
1541,140656.0
1542,134849.0
1543,205899.0
1544,82290.0
1545,103954.0
1546,130558.0
1547,131986.0
1548,135893.0
1549,108336.0
1550,136184.0
1551,111327.0
1552,143085.0
1553,148630.0
1554,108297.0
1555,168785.0
1556,79950.0
1557,108247.0
1558,89425.0
1559,64432.0
1560,147108.0
1561,132578.0
1562,131231.0
1563,120197.0
1564,158470.0
1565,145214.0
1566,229539.0
1567,70110.0
1568,218960.0
1569,125445.0
1570,132483.0
1571,130651.0
1572,147296.0
1573,244627.0
1574,112375.0
1575,226688.0
1576,231340.0
1577,185286.0
1578,148462.0
1579,151504.0
1580,201141.0
1581,150238.0
1582,126897.0
1583,344144.0
1584,228013.0
1585,141098.0
1586,71859.0
1587,96750.0
1588,143125.0
1589,97822.0
1590,136569.0
1591,99023.0
1592,117084.0
1593,125551.0
1594,128516.0
1595,107528.0
1596,227106.0
1597,183993.0
1598,215889.0
1599,182630.0
1600,179258.0
1601,64949.0
1602,111729.0
